player_id,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
5023,IT1,0.0,0.0,0.0,0.0,831.0
5072,L1,0.3333333333333333,0.0,0.0,0.0,450.0
5169,PO1,1.0,0.0,5.0,0.0,478.0
5245,RU1,7.0,0.0,1.0,0.75,1798.5
5281,FR1,0.0,0.0,0.0,0.0,43.0
5283,GR1,0.0,0.0,0.0,0.0,810.0
5285,FR1,2.5,0.0,0.5,0.0,611.5
5286,FR1,0.0,0.0,0.0,0.0,90.0
5293,FR1,4.0,0.0,1.25,0.5,2094.75
5299,FR1,1.0,0.0,1.0,1.0,581.0
5300,FR1,3.0,1.0,3.0,9.0,2387.0
5303,FR1,0.25,0.0,1.25,0.5,374.25
5308,TR1,0.0,0.0,0.0,0.0,90.0
5309,FR1,0.0,0.0,0.0,0.0,2070.0
5315,GR1,2.0,0.0,0.0,0.0,695.0
5336,GR1,3.5,0.0,0.75,0.5,1385.5
5338,FR1,1.25,0.25,0.0,0.0,2819.5
5339,FR1,1.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1229.3333333333333
5345,FR1,1.0,0.0,0.0,1.0,1292.0
5348,FR1,3.0,0.0,0.25,1.25,861.5
5352,GB1,1.0,0.0,0.0,0.0,472.5
5357,FR1,1.0,0.0,0.0,2.0,571.0
5376,FR1,0.0,0.0,2.0,3.0,1162.0
5399,FR1,6.0,0.0,2.0,2.0,2205.0
5404,PO1,3.3333333333333335,0.0,1.6666666666666667,1.0,1849.0
5406,FR1,3.5,0.5,0.5,1.5,1088.0
5418,GR1,4.0,0.0,1.0,0.0,1235.0
5422,IT1,7.75,0.25,1.5,0.25,1306.5
5430,FR1,6.333333333333333,0.3333333333333333,0.0,0.3333333333333333,2184.3333333333335
5431,FR1,0.75,0.0,0.25,0.5,204.0
5438,GR1,2.0,0.0,2.0,5.0,819.0
5439,GR1,4.0,1.0,2.0,3.5,1419.0
5444,FR1,0.0,1.0,0.0,0.0,20.0
5451,FR1,4.666666666666667,0.6666666666666666,1.3333333333333333,0.0,2032.6666666666667
5452,RU1,2.0,0.0,1.0,1.0,1285.0
5457,FR1,4.75,0.0,2.5,2.75,1434.25
5461,FR1,5.0,0.0,3.0,5.0,2344.0
5470,TR1,1.6666666666666667,0.0,0.0,0.0,1976.6666666666667
5474,FR1,0.3333333333333333,0.0,0.3333333333333333,0.0,452.0
5477,FR1,3.6666666666666665,0.3333333333333333,1.0,1.0,1805.0
5486,IT1,4.0,0.0,1.5,0.5,1545.5
5495,TR1,2.0,0.5,6.0,2.5,1551.5
5501,IT1,1.0,0.0,0.0,0.0,203.0
5507,IT1,7.5,0.0,0.0,0.0,1538.0
5509,SC1,1.0,0.0,0.0,0.0,129.0
5513,FR1,4.0,0.0,0.0,0.25,1938.25
5516,GR1,4.0,0.0,1.0,0.0,294.0
5518,GR1,0.0,0.0,2.0,0.0,121.0
5521,FR1,1.3333333333333333,0.0,4.0,1.3333333333333333,1141.3333333333333
5539,FR1,4.0,0.0,0.0,1.0,768.0
5543,FR1,2.5,0.5,2.0,0.0,1840.0
5544,FR1,2.0,0.0,2.0,1.6666666666666667,1008.0
5562,PO1,0.0,0.0,0.0,0.0,229.0
5566,FR1,1.0,0.0,0.0,0.0,254.0
5574,NL1,2.0,0.25,6.5,1.0,1117.0
5576,FR1,1.6666666666666667,0.6666666666666666,0.0,0.0,1657.3333333333333
5586,GR1,3.0,0.0,0.0,0.0,888.0
